,Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
58,ResidualBlock-in_136x14x14-out_192-k_5-e_3-s_2-act_h_swish-use_se_True,,,,,,,,,,
59,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.504,0.510,0.619,0.031,14.758,0.255,560.134,
60,ResidualBlock-in_136x14x14-out_192-k_3-e_3-s_2-act_h_swish-use_se_True,,,,,,,,,,
61,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.496,0.518,3.154,0.030,14.536,0.249,549.590,
62,ResidualBlock-in_32x56x56-out_48-k_5-e_6-s_2-act_relu-use_se_True,,,,,,,,,,
63,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.783,0.791,0.906,0.062,18.292,0.185,252.680,
64,ResidualBlock-in_192x7x7-out_192-k_5-e_3-s_1-act_h_swish-use_se_True,,,,,,,,,,
65,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.634,0.644,0.847,0.024,8.763,0.413,704.177,
66,ResidualBlock-in_32x56x56-out_32-k_5-e_6-s_1-act_relu-use_se_False,,,,,,,,,,
67,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,2.226,2.239,2.469,0.109,10.839,1.459,670.521,
68,ResidualBlock-in_32x56x56-out_48-k_7-e_4-s_2-act_relu-use_se_True,,,,,,,,,,
69,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.822,0.829,1.612,0.046,12.949,0.173,224.735,
70,ResidualBlock-in_24x112x112-out_32-k_3-e_4-s_2-act_relu-use_se_False,,,,,,,,,,
71,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.827,0.840,1.009,0.084,23.586,0.968,1251.440,
72,ResidualBlock-in_48x28x28-out_48-k_3-e_4-s_1-act_relu-use_se_True,,,,,,,,,,
73,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.447,0.453,0.598,0.032,17.673,0.145,366.078,
74,ResidualBlock-in_48x28x28-out_48-k_5-e_6-s_1-act_relu-use_se_True,,,,,,,,,,
75,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.646,1.658,1.815,0.056,7.573,1.264,791.108,
76,ResidualBlock-in_192x7x7-out_192-k_3-e_3-s_1-act_h_swish-use_se_True,,,,,,,,,,
77,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,0.632,0.639,1.345,0.023,8.497,0.404,694.823,
78,ResidualBlock-in_24x112x112-out_32-k_5-e_4-s_2-act_relu-use_se_False,,,,,,,,,,
79,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.239,1.257,1.470,0.094,17.132,0.988,831.924,
80,ResidualBlock-in_192x7x7-out_192-k_7-e_6-s_1-act_h_swish-use_se_True,,,,,,,,,,
81,subgraph_ResidualBlock__ResidualBlock_MBConvLayer_conv__Sequential_depth_conv__Conv2d_conv__ret_9,500,DPUCZDX8G_1:batch-1,1.559,1.572,2.379,0.051,7.267,1.141,753.950,
82,ResidualBlock-in_24x112x112-out_24-k_3-e_1-s_1-act_relu-use_se_False,,,,,,,,,,
