,Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s)
57,ResidualBlock-in_96x14x14-out_136-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.436,0.444,1.169,0.028,15.581,0.151,389.579
59,ResidualBlock-in_96x14x14-out_136-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.637,1.648,2.409,0.065,8.846,0.359,226.105
61,ResidualBlock-in_48x28x28-out_48-k_7-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.081,1.09,1.24,0.044,9.341,0.153,148.121
63,ResidualBlock-in_136x14x14-out_192-k_5-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.504,0.51,0.619,0.031,14.758,0.255,560.134
65,Conv_in-3x224x224_out-24_k-3_act-relu,500,DPUCZDX8G_1:batch-1,0.338,0.352,0.771,0.017,12.693,0.503,1777.023
67,ResidualBlock-in_136x14x14-out_192-k_3-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.496,0.518,3.154,0.03,14.536,0.249,549.59
69,ResidualBlock-in_32x56x56-out_48-k_5-e_6-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.783,0.791,0.906,0.062,18.292,0.185,252.68
71,ResidualBlock-in_192x7x7-out_192-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.634,0.644,0.847,0.024,8.763,0.413,704.177
73,ResidualBlock-in_32x56x56-out_32-k_5-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.226,2.239,2.469,0.109,10.839,1.459,670.521
75,ResidualBlock-in_32x56x56-out_48-k_7-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.822,0.829,1.612,0.046,12.949,0.173,224.735
77,ResidualBlock-in_24x112x112-out_32-k_3-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.827,0.84,1.009,0.084,23.586,0.968,1251.44
79,ResidualBlock-in_48x28x28-out_48-k_3-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.447,0.453,0.598,0.032,17.673,0.145,366.078
81,ResidualBlock-in_48x28x28-out_48-k_5-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.646,1.658,1.815,0.056,7.573,1.264,791.108
83,ResidualBlock-in_192x7x7-out_192-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.632,0.639,1.345,0.023,8.497,0.404,694.823
85,ResidualBlock-in_24x112x112-out_32-k_5-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.239,1.257,1.47,0.094,17.132,0.988,831.924
87,ResidualBlock-in_192x7x7-out_192-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.559,1.572,2.379,0.051,7.267,1.141,753.95
89,ResidualBlock-in_24x112x112-out_24-k_3-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.886,0.903,1.267,0.021,5.529,1.436,1736.415
91,ResidualBlock-in_136x14x14-out_192-k_7-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.551,0.557,0.958,0.032,13.827,0.264,527.661
93,ResidualBlock-in_136x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.764,0.775,1.122,0.048,14.709,0.275,385.075
95,ResidualBlock-in_192x7x7-out_192-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.778,0.784,0.941,0.032,9.445,0.612,839.82
97,ResidualBlock-in_32x56x56-out_32-k_7-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.604,2.612,2.768,0.092,7.81,1.077,422.138
99,ResidualBlock-in_136x14x14-out_136-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.908,1.919,2.144,0.097,11.326,0.635,341.684
101,ResidualBlock-in_96x14x14-out_96-k_7-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.641,0.648,1.168,0.028,10.134,0.121,204.144
